index,energy,age,number_stories,square_feet,plei_1,plei_3,plug_load_consumption,ac_consumption,domestic_gas,heating_gas,Long,Lat
59,84231.0,57.0,3.0,9014.0,6.0,2.0,8.777209477,1.312875979,0.0757172,1.072885523,-73.754153,40.699882
60,7990.0,87.0,3.0,1782.0,1.0,2.0,4.53175944,1.083655061,0.101114142,0.719890853,-73.754153,40.699882
61,7992.0,87.0,1.0,700.0,2.0,2.0,9.851185956,1.0758177,0.322599638,0.57959223,-73.9504883,40.683373
63,4283.0,87.0,1.0,650.0,1.0,2.0,9.744489836,1.252960949,0.322599638,0.57959223,-73.9463324,40.6939713
64,4752.0,108.0,1.0,1920.0,1.0,1.0,3.062213253,0.849198272,0.322599638,0.57959223,-73.9382722,40.6828827
65,37760.0,53.0,1.0,10989.0,6.0,3.0,3.499831131,3.175873094,0.072450134,0.409307863,-73.8789519,40.6612169
66,34110.0,72.0,4.0,25505.0,9.0,9.0,9.04369668,0.858945884,0.041072483,0.264007758,-73.9468347,40.8186253
67,4533.0,92.0,4.0,4095.0,1.0,1.0,4.263552658,3.43826772,0.629953778,0.641888508,-73.943372,40.81874
69,21930.0,83.0,2.0,2170.0,1.0,13.0,4.621996153,5.579672945,0.064366715,2.997384437,-73.7755258,40.7557625
70,205336.0,108.0,4.0,22911.0,1.0,7.0,9.851185956,1.0758177,0.322599638,0.57959223,-73.9404561,40.8341956
71,5400.0,104.0,2.0,7038.0,1.0,2.0,2.257090792,0.773500944,0.011178147,0.745507841,-73.9388203,40.8151905
72,61983.0,76.0,2.0,10000.0,8.0,1.0,9.302564371,1.065507234,0.035786022,0.11972482,-74.0088817,40.6815226
73,30616.0,87.0,1.0,2000.0,2.0,1.0,12.63767847,1.24402089,0.75567522,0.806243585,-74.0764021,40.6275215
74,97200.0,108.0,3.0,7500.0,2.0,1.0,10.72618377,2.389513524,0.072817375,0.263627561,-73.9339499,40.6810893
78,15392.0,78.0,1.0,2000.0,8.0,1.0,8.214417884,1.333895529,0.628839944,0.881580028,-73.8636374,40.5751461
82,22770.0,87.0,1.0,1800.0,1.0,0.0,13.62358644,2.009402259,4.04714962,0.691344698,-74.131907,40.6360389
83,28020.0,87.0,3.0,9600.0,2.0,3.0,4.19004544,1.05462335,0.014669148,0.171185639,-74.0797014,40.6282664
84,92932.0,14.0,1.0,1500.0,1.0,2.0,66.55766861,14.7474438,4.226072264,0.325951824,-74.166282,40.5597809
90,9740.0,92.0,2.0,4592.0,1.0,1.0,4.812969592,2.728716412,0.068733356,0.277840437,-73.9433814,40.8140753
91,74760.0,88.0,2.0,8172.0,21.0,1.0,13.23584938,2.530386617,0.135057442,0.705468567,-73.7491396,40.6075143
92,23643.0,87.0,2.0,3075.0,1.0,4.0,11.82682711,1.960057297,0.270921306,1.772506827,-73.7497946,40.6072579
94,4757.0,101.0,4.0,5248.0,1.0,2.0,1.272268767,0.049233582,0.047476906,0.327414462,-73.95918,40.648795
95,4757.0,101.0,4.0,5248.0,1.0,2.0,1.272268767,0.049233582,0.047476906,0.327414462,-73.95918,40.648795
96,12636.0,93.0,3.0,5416.0,1.0,1.0,2.119974686,0.364748535,0.181762591,0.443632916,-73.9170051,40.6749107
99,186302.0,88.0,4.0,15914.0,40.0,3.0,10.4912273,1.247200992,0.17626613,0.209263683,-73.95957,40.7086929
100,16417.0,88.0,3.0,5141.0,7.0,3.0,4.556191536,1.725074748,0.018650987,0.02764164,-73.9638333,40.679697
101,50604.0,96.0,1.0,800.0,3.0,2.0,61.53712907,3.384529556,0.322599638,0.57959223,-73.920481,40.7600746
102,6962.0,108.0,4.0,6095.0,3.0,1.0,1.121467186,0.090291838,0.097964685,0.441250375,-73.9465147,40.7908209
