AddressID,property_name,Address,Zipcode,Long,Lat
200-08 Murdock Ave11412,GraceUMCofStAlbans-Church,200-08 Murdock Ave,11412,-73.754153,40.699882
200-08 Murdock Ave11412,GraceUMCofStAlbansParsonage,200-08 Murdock Ave,11412,-73.754153,40.699882
456 Nostrand Ave11216,HarrietTubmanFannieLouHamerCollectivedbaSistasPlace,456 Nostrand Ave,11216,-73.9504883,40.683373
51 Cottage Place10302,ReachOutAndTouchMinistriesReport,51 Cottage Place,10302,-74.1304489,40.6358099
150 Tompkins Ave11206,AbengCenter,150 Tompkins Ave,11206,-73.9463324,40.6939713
408 Marcus Garvey Blvd11216,HouseofArtGallery,408 Marcus Garvey Blvd,11216,-73.9382722,40.6828827
820 Stanley Ave11207,SouthernBaptistChurch,820 Stanley Ave,11207,-73.8789519,40.6612169
49-55 Edgecombe Ave10030,StMarksUnitedMethodistChurch,49-55 Edgecombe Ave,10030,-73.9468347,40.8186253
239 W 139th Street10030,StMarksUnitedMethodistChurch-Parsonage,239 W 139th Street,10030,-73.943372,40.81874
111-113 Vermilyea Avenue10034,NYSERDA_Energy_Assessment_Report_-_Spanish_Van_Dyckman_SDA_Church,111-113 Vermilyea Avenue,10034,-73.9216714,40.8661132
46-19 206th Street11361,CommunityBaptistChurch,46-19 206th Street,11361,-73.7755258,40.7557625
975 St. Nicholas Ave.10032,NYSERDA_Energy_Assessment_Report_-_AME_Zion_Church_on_the_Hill,975 St. Nicholas Ave.,10032,-73.9404561,40.8341956
59-61 W. 137th St.10037,RendallMemorialPresbyterianChurch,59-61 W. 137th St.,10037,-73.9388203,40.8151905
102 Commerce Street11231,NYSERDA_Energy_Assessment_Report_-_The_CHS_Group,102 Commerce Street,11231,-74.0088817,40.6815226
584 bay Street10304,NYSERDA_Energy_Assessment_-_Island_Bay_Grill_and_Lounge,584 bay Street,10304,-74.0764021,40.6275215
230 Decatur Street11230,MountLebanonBaptistChurch,230 Decatur Street,11230,-73.9339499,40.6810893
17-31 Seagrit Blvd.11691,SouthIslandMedicalAssociates,17-31 Seagrit Blvd.,11691,-73.7523365,40.5947466
1817 Mott Avenue11691,NYSERDA_Energy_Assessment_-_DAC_Unisex_Beauty_Salon,1817 Mott Avenue,11691,-73.753855,40.6047334
112-30 Beach Channel Drive11694,NYSERDA_Energy_Assessment_-_Nelly's_Nails_and_More,112-30 Beach Channel Drive,11694,-73.8636374,40.5751461
112-30 Beach Channel Drive11694,JohnLeporeInsuranceAgencyInc,112-30 Beach Channel Drive,11694,-73.8636374,40.5751461
7508 Beach Channel Drive116992,NYSERDA_Energy_Assessment_-_Pilgrim_Church_of_Arverne,7508 Beach Channel Drive,116992,-73.8356758,40.582635
171 Avenue C10009,NYSERDA_Energy_Assessment_-_1011_Tavern_Corp_-_Evelyn,171 Avenue C,10009,-73.9776141,40.7263725
1720 Ave J11230,CongregationKnessethBaisYaakov,1720 Ave J,11230,-73.958697,40.62523
9.18E+14,TheStarPeople'sLaundromat,9176135257,10302,-74.131907,40.6360389
117 Wright Street10304,FirstCentralBaptistChurch,117 Wright Street,10304,-74.0797014,40.6282664
758 Arthur Kill Road10312,CAAABagels,758 Arthur Kill Road,10312,-74.166282,40.5597809
112-20 beach Channel Drive11694,NYSERDA_Energy_Assessment_Report_-_World_Champions_Karate,112-20 beach Channel Drive,11694,-73.8357699,40.5827587
241 Beach 116th Street #111694,PaninicoCafeReport,241 Beach 116th Street #1,11694,-73.8379319,40.5804826
239 Beach 116th Street11694,Curran'sSuperiorMeatsReport,239 Beach 116th Street,11694,-73.8378233,40.5805242
239 Beach 116th Street11694,Sigma_AlphaLLCReport,239 Beach 116th Street,11694,-73.8378233,40.5805242
375 Beach 92nd Street11693,ThaiRock,375 Beach 92nd Street,11693,-73.817115,40.5887325
132 W 134th Street10030,SaintJohnAMEChurch,132 W 134th Street,10030,-73.9433814,40.8140753
1332 Central Avenue11691,ArverneChurchofGod-COGCA,1332 Central Avenue,11691,-73.7491396,40.6075143
1318 Central Avenue11691,ArverneChurchofGod,1318 Central Avenue,11691,-73.7497946,40.6072579
157 St. Pauls Place11226,SaintPaulsChurch-OfficeAuditorium,157 St. Pauls Place,11226,-73.9621723,40.6504518
2115 Albermarle Terrace11226,SaintPaulsChurchRectory,2115 Albermarle Terrace,11226,-73.95918,40.648795
2115 Albermarle Terrace11226,SaintPaulsChurchRectory,2115 Albermarle Terrace,11226,-73.95918,40.648795
2134 Dean Street11233,GloverMemorialBaptistChurch,2134 Dean Street,11233,-73.9170051,40.6749107
502 North Central Avenue11580,GatewayChristianCenter,502 North Central Avenue,11580,-73.7111511,40.6792129
334 Ashford Street11208,NewTestamentChristianChurch,334 Ashford Street,11208,-73.8854697,40.6741827
260 Broadway11211,BrooklynLegalServicesCorpA,260 Broadway,11211,-73.95957,40.7086929
599 Washington Ave11236,JesusTheGoodShepherdChurchReport,599 Washington Ave,11236,-73.9638333,40.679697
31-86 37th Street11103,LunaNYCafeCorpReport,31-86 37th Street,11103,-73.920481,40.7600746
161 E 104th Street10029,ChurchoftheLivingHopeReport,161 E 104th Street,10029,-73.9465147,40.7908209
